Region code;Region name (sourced);Item code;Item name (sourced);Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
AT02;Graz;1554;Total population - ESPON;total / number;;664962;;;;;692198;;;;;;;;;;
AT02 approx.;AT221 - Graz;1554;Total population;total / number;;356285;364679;368327;372013;377444;382377;386423;390138;393586;396995;401229;405473;410094;415265;;
;Linz, Statutarstadt;1554;Total population;total / number;;183504;;;;;;;;;189311;;;193511;;;
;Wels, Statutarstadt;1554;Total population;total / number;;56478;;;;;;;;;58574;;;59239;;;
;Bezirk Eferding;1554;Total population;total / number;;30718;;;;;;;;;31690;;;31926;;;
;Bezirk Linz-Land;1554;Total population;total / number;;129059;;;;;;;;;138116;;;141374;;;
;Bezirk Wels-Land;1554;Total population;total / number;;62997;;;;;;;;;67175;;;68634;;;
AT03_1;Linz approx.;1554;Total population;total / number;;462756;;;;;;;;;484866;;;494684;;;
AT03_2 approx.;Bezirk Urfahr-Umgebung;1554;Total population;total / number;;77742;;;;;;;;;80782;;;82118;;;
AT03_2;part of metro;1554;Total population;total / number;;60394;;;;;;;;;63137;;;61127;;;
AT03;AT312 - Linz-Wels;1554;Total population - ESPON;total / number;;523150;524856;528745;532296;536527;540016;542746;544613;546609;548003;549314;552172;555811;560587;;
BE03 approx.;Gent;1554;Total population;total / number;495368;496608;498631;500794;502492;505267;508996;512407;516609;521796;527248;534419;537364;539424;;;
BE04 approx.;Charleroi;1554;Total population;total / number;421059;420214;420590;420653;420528;421394;421801;422598;423204;424289;425110;428231;430000;431340;;;
BE05 approx.;Liege;1554;Total population;total / number;585678;584398;585726;585444;587033;588287;590972;594579;597478;600269;604062;612363;616817;620528;;;
BE07 approx.;Namur;1554;Total population;total / number;282727;283793;285181;286930;288659;290576;292318;294320;296494;298835;301472;304968;307669;309525;;;
BE03;Arr. Gent;1554;Total population - ESPON;total / number;;674621;;;;;688838;;;;;;;;;;
BE04;Arr. Charleroi;1554;Total population - ESPON;total / number;;518995;;;;;522179;;;;;;;;;;
BE05;Arr. Li?ge;1554;Total population - ESPON;total / number;;731701;;;;;741628;;;;;;;;;;
BE07;Arr. Namur;1554;Total population - ESPON;total / number;;208582;;;;;214262;;;;;;;;;;
BU04;Burgas;1554;Total population - ESPON;total / number;;192390;;;;;190081;;;;;;;;;;
BU07;Pleven;1554;Total population - ESPON;total / number;;149142;;;;;138255;;;;;;;;;;
BU02;Plovdiv;1554;Total population - ESPON;total / number;;439061;;;;;434231;;;;;;;;;;
BU05;Ruse;1554;Total population - ESPON;total / number;;161453;;;;;154188;;;;;;;;;;
BU06;Stara Zagora;1554;Total population - ESPON;total / number;;167370;;;;;162851;;;;;;;;;;
BU03;Varna;1554;Total population - ESPON;total / number;;348398;;;;;345262;;;;;;;;;;
BU04 approx.;Burgas;1554;Total population;total / number;427152;425366;422575;421288;420360;419631;418884;418229;417668;417082;416880;415909;414947;414154;414485;;
BU07 approx.;Pleven;1554;Total population;total / number;319356;314965;322064;315473;309336;303760;297401;291695;285905;280660;275579;270115;266865;262969;259363;;
BU02 approx.;Plovdiv;1554;Total population;total / number;729447;728246;711933;707748;703830;700627;697194;693734;690683;687879;685860;683298;680884;678860;678197;;
BU05 approx.;Ruse;1554;Total population;total / number;275538;273234;262576;259036;255670;252717;249467;246494;243580;240808;238173;235477;233767;231580;229784;;
BU06 approx.;Stara Zagora;1554;Total population;total / number;385195;382977;366141;362041;357925;354129;350330;346625;343039;339817;336742;333496;331135;329832;328104;;
BU03 approx.;Varna;1554;Total population;total / number;440563;435524;463883;465035;466366;467632;468834;470123;471315;472503;474004;474776;474344;473415;474076;;
FI08 approx.;Pori;1554;Total population;total / number;140473;139762;139204;138767;138702;138615;138136;137893;137747;137714;137730;137745;137603;137506;137204;;
FI05 approx.;Lahti;1554;Total population;total / number;197347;197378;197656;198088;198434;198685;198975;199235;200061;200847;201270;201772;202236;202548;202424;;
FI08;Pori;1554;Total population - ESPON;total / number;;106714;;;;;107749;;;;;;;;;;
FI05;Lahti;1554;Total population - ESPON;total / number;;161995;;;;;164785;;;;;;;;;;
FR04 approx.;FR301 - Nord (FR);1554;Total population;total / number;2554638;2555959;2558213;2559871;2561038;2563886;2565257;2564950;2564959;2571940;2576770;2579208;2584148;2588118;;;
FR07 approx.;FR612 - Gironde;1554;Total population;total / number;1299777;1314667;1330095;1345768;1361225;1377991;1393758;1409345;1421276;1434661;1449245;1463662;1477883;1491170;;;
