RegionCode;Region/CityName;CountryName;CountryCode;ProductID;ProductName;Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
AJ;Azerbaijan;Total;AJ;2000;For estimating: Total motor vehicles;number;440626;450969;457442;511460;554031;612069;690012;773318;860047;925866;982553;1037626;1135936;1232678;1291008;;
AJ01;Azerbaijan;Baku;AJ;2000;For estimating: Total motor vehicles;number;145998;150132;154908;205072;249857;295862;363918;427083;502369;549511;598132;647752;702484;736490;739973;;
AJ01;Azerbaijan;Baku;AJ;2666;Passenger cars in use;number;118028;120012;126232;172444;212830;247728;309396;364971;431046;472458;518205;562690;609426;643155;645244;;
AR;Argentina;Total;AR;2000;For estimating: Total motor vehicles;number;10148024;10354687;10455830;10601276;10978703;11372487;11826456;12399887;12982547;13499531;14163125;15025245;15870633;16834231;17522711;;
AR01;Argentina;Buenos Aires;AR;2000;For estimating: Total motor vehicles;number;4195186;4289989;4336630;4398679;4444130;4612482;4803186;5038143;5168514;5375488;5640935;5969748;6291844;6669188;;;
AR02 approx.;Argentina;Córdoba;AR;2000;For estimating: Total motor vehicles;number;952089;971757;983477;1001460;1048982;1088944;1134856;1190778;1242038;1295877;184344;198641;212635;301745;;;
AR03 approx.;Argentina;Mendoza;AR;2000;For estimating: Total motor vehicles;number;441757;447094;449832;453347;497021;509569;524681;544998;599468;618461;643266;676278;709312;747606;;;
AR04 approx.;Argentina;Salta;AR;2000;For estimating: Total motor vehicles;number;127614;130400;131862;133713;141010;146664;154380;165593;177146;187762;201068;218989;237076;256812;;;
AR05 approx.;Argentina;Santa Fe;AR;2000;For estimating: Total motor vehicles;number;926258;943700;953565;970549;1008193;1046355;1087540;1139896;1168442;1211223;1265947;1339667;1408992;1487676;;;
AR06 approx.;Argentina;San Juan;AR;2000;For estimating: Total motor vehicles;number;129548;131399;132127;133042;144140;147316;151233;156393;168385;173817;180619;189805;200064;211010;;;
AR07 approx.;Argentina;Rosario;AR;2000;For estimating: Total motor vehicles;number;926258;943700;953565;970549;1008193;1046355;1087540;1139896;1168442;1211223;1265947;1339667;1408992;1487676;;;
AR08 approx.;Argentina;La Plata;AR;2000;For estimating: Total motor vehicles;number;3917724;3981388;4011526;4051546;4264252;4385872;4523262;4701020;5023963;5192304;5410640;5694159;5975230;6302184;;;
AR09 approx.;Argentina;Mar del Plata;AR;2000;For estimating: Total motor vehicles;number;3917724;3981388;4011526;4051546;4264252;4385872;4523262;4701020;5023963;5192304;5410640;5694159;5975230;6302184;;;
AR10 approx.;Argentina;San Miguel de Tucumán;AR;2000;For estimating: Total motor vehicles;number;188589;192522;194444;197043;198343;204830;212282;223177;237135;247404;261939;283089;304110;102195;;;
AR11 approx.;Argentina;Resistencia;AR;2000;For estimating: Total motor vehicles;number;127121;129731;131098;133168;134530;139899;146416;154852;164935;174715;1361802;1445930;1524976;1540827;;;
AR12 approx.;Argentina;Santiago del Estero;AR;2000;For estimating: Total motor vehicles;number;72813;74291;74934;75691;80576;82873;86139;90881;100369;104941;110933;119535;128652;138073;;;
AR13 approx.;Argentina;Corrientes;AR;2000;For estimating: Total motor vehicles;number;132556;135319;136750;138878;144496;150397;157487;166974;174984;184447;245571;262394;279598;299852;;;
AR14 approx.;Argentina;Posadas;AR;2000;For estimating: Total motor vehicles;number;153048;155701;156829;158538;163336;168900;175049;182514;191751;197507;205985;217928;229720;244354;;;
BH;#N/A;#N/A;#N/A;2000;For estimating: Total motor vehicles;number;;;;;293801;314033;337545;366732;399546;428957;452222;475150;501481;541885;;;
BU;Bulgaria;Total;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;3284837;3401405;3545047;3683659;;;
BU01;Bulgaria;Sofia;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;767561;780529;800920;821916;;;
R036;Australia;New South Wales;AU;2666;Passenger cars in use;number;;3007316;3088332;3163322;3250277;3326926;3395905;3464250;3581416;3602556;3675163;3742476;3803926;3877515;3953655;4050873;
R036;Australia;New South Wales;AU;2668;Motorcycles and Mopeds in Use;number;;90734;95649;100049;106287;113004;122211;133406;148309;162836;175292;181107;188469;199847;211040;222111;
R036;Australia;New South Wales;AU;2667;Commercial Vehicles in Use;number;;647487;663151;681479;707076;730457;750515;763581;790238;801994;831016;854838;877601;907195;937657;974215;
R042;Australia;Victoria;AU;2666;Passenger cars in use;number;;2682536;2754257;2822384;2873351;2933746;2997856;3049224;3120048;3178777;3249418;3310682;3373564;3446548;3519491;3581815;
R042;Australia;Victoria;AU;2668;Motorcycles and Mopeds in Use;number;;94741;102764;99072;102463;107581;114438;123806;136019;147600;156390;160634;164778;169406;174336;178905;
R042;Australia;Victoria;AU;2667;Commercial Vehicles in Use;number;;540405;556686;572858;589336;608255;628432;645032;665507;683899;707100;727055;747942;767680;789271;806594;
R039;Australia;Queensland;AU;2666;Passenger cars in use;number;;1767318;1836529;1915327;1986508;2058092;2138364;2220568;2302407;2362505;2409273;2435830;2489266;2556581;2614648;2656508;
R039;Australia;Queensland;AU;2668;Motorcycles and Mopeds in Use;number;;74320;78644;83790;89332;97370;110501;125594;139355;151706;155420;156825;164752;173775;181683;187167;
R039;Australia;Queensland;AU;2667;Commercial Vehicles in Use;number;;512714;530351;552944;580204;611842;649002;687255;731685;769032;793528;809277;838293;875765;909069;927646;
R040;Australia;South Australia;AU;2666;Passenger cars in use;number;;853039;562432;873449;886931;897332;915059;927313;940791;958904;978041;992624;1000132;1016590;1036052;1050246;
R040;Australia;South Australia;AU;2668;Motorcycles and Mopeds in Use;number;;27940;28395;28454;29382;30676;33772;36898;39493;44592;46754;47753;48709;50678;52090;53010;
R040;Australia;South Australia;AU;2667;Commercial Vehicles in Use;number;;169588;171231;175251;179610;183704;189126;192750;198620;205430;214877;221548;226200;231136;238090;244258;
R043;Australia;Western Australia;AU;2666;Passenger cars in use;number;;1038848;1065632;1091973;1122094;1156923;1205266;1254426;1295136;1345494;1369133;1394241;1432969;1476743;1539270;1566574;
R043;Australia;Western Australia;AU;2668;Motorcycles and Mopeds in Use;number;;44740;46531;47066;49488;53051;59675;68031;77010;87044;93901;99392;107195;113852;122995;127145;
