"CountryName","Region SUM","Metropolitan SUM","Core city SUM","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Bolivia","R068",NA,NA,184.443,191.102,197.924,204.872,211.918,219.065,226.343,233.805,241.485,249.375,257.446,265.688,274.089,282.623,291.269,299.976,308.661,317.233,325.623,333.79,341.726,349.437,356.942,364.255,371.388,378.242,384.708,390.756,396.381,401.607,406.505,411.18,415.762,420.365,425.062,429.902,434.732,439.783,445.09,450.683,456.445,462.398,468.528,474.809,481.215,487.745,494.393,501.156,508.028,515.002,522.061,529.184,536.342,543.513
"Bolivia","R069",NA,NA,386.393,393.797,401.127,408.321,415.336,422.191,428.964,435.767,442.678,449.691,456.766,463.905,471.105,478.346,485.617,492.863,499.881,506.49,512.662,518.422,523.854,529.059,534.162,539.279,544.523,549.849,555.094,560.149,564.936,569.413,573.596,577.547,581.354,585.076,588.712,592.222,596.19,600.633,605.657,611.375,617.527,624.098,631.063,638.38,645.984,653.857,661.983,670.346,678.925,687.705,696.655,705.74,714.915,724.146
"Bolivia","R070",NA,NA,786.589,811.532,836.806,862.285,887.878,913.625,939.691,966.333,993.737,1021.912,1050.789,1080.392,1110.734,1141.787,1173.543,1205.888,1238.547,1271.188,1303.564,1335.551,1367.158,1398.436,1429.501,1460.435,1491.317,1521.963,1552.066,1581.4,1609.829,1637.315,1664.001,1690.167,1716.193,1742.389,1768.891,1795.736,1822.668,1849.955,1877.636,1905.77,1934.279,1963.181,1992.429,2021.977,2051.786,2081.86,2112.205,2142.839,2173.761,2204.96,2236.387,2267.96,2299.576,2331.15
"Bolivia","R071",NA,NA,1580.874,1613.115,1644.844,1675.875,1706.11,1735.709,1765.078,1794.776,1825.225,1856.509,1888.586,1921.588,1955.633,1990.779,2027.126,2064.605,2102.993,2141.84,2180.669,2219.213,2257.412,2295.265,2332.862,2370.227,2407.361,2444.28,2480.833,2516.565,2551.161,2584.453,2616.551,2647.761,2678.538,2709.204,2739.803,2770.214,2801.778,2834.548,2868.793,2904.827,2942.087,2980.529,3020.075,3060.601,3101.946,3144.073,3186.957,3230.581,3274.903,3319.878,3365.405,3411.337,3457.495,3503.737
"Bolivia","R072",NA,NA,331.933,335.027,337.871,340.442,342.739,344.813,346.761,348.709,350.748,352.906,355.183,357.615,360.235,363.063,366.127,369.427,372.696,375.73,378.613,381.475,384.489,387.844,391.749,396.413,402.05,408.781,416.475,424.949,434.033,443.572,453.442,463.543,473.786,484.05,494.145,503.839,514.095,524.177,534.058,543.772,553.532,563.228,572.866,582.462,592.037,601.585,611.122,620.666,630.226,639.804,649.394,658.978,668.533,678.038
"Bolivia","R073",NA,NA,36.83,37.136,37.386,37.585,37.741,37.868,37.987,38.119,38.284,38.493,38.755,39.085,39.496,40.001,40.615,41.353,42.177,43.055,44.014,45.086,46.311,47.737,49.418,51.418,53.81,56.688,60.094,64.025,68.478,73.446,78.917,84.872,91.281,98.089,105.205,112.502,120.183,127.682,134.811,141.415,147.845,153.984,159.815,165.361,170.679,175.765,180.639,185.326,189.849,194.222,198.458,202.565,206.55,210.416
"Bolivia","R074",NA,NA,697.556,699.251,700.336,700.79,700.63,699.982,699.064,698.139,697.403,696.914,696.68,696.776,697.268,698.2,699.629,701.555,703.562,705.308,706.894,708.5,710.378,712.802,716.078,720.498,726.355,733.842,742.764,752.782,763.594,774.927,786.578,798.387,810.224,821.903,833.14,843.584,855.143,866.796,878.62,890.77,903.298,916.049,929.024,942.214,955.596,969.145,982.867,996.766,1010.837,1025.067,1039.431,1053.889,1068.389,1082.89
"Bolivia","R075",NA,NA,786.182,822.349,859.701,898.136,937.588,978.123,1019.949,1063.382,1108.682,1155.916,1205.067,1256.223,1309.462,1364.817,1422.347,1481.979,1543.977,1608.319,1674.382,1741.623,1809.591,1877.822,1945.869,2013.176,2079.11,2143.093,2204.989,2264.652,2322.101,2377.54,2431.479,2484.67,2538.065,2592.559,2648.836,2707.48,2764.204,2820.626,2876.403,2931.153,2985.385,3039.308,3092.84,3145.97,3198.801,3251.413,3303.869,3356.262,3408.659,3461.09,3513.521,3565.866,3617.999,3669.82
"Bolivia","R076",NA,NA,204.374,210.964,217.63,224.344,231.085,237.87,244.746,251.787,259.048,266.539,274.25,282.198,290.395,298.846,307.561,316.522,325.71,335.067,344.504,353.963,363.413,372.835,382.22,391.548,400.795,409.921,418.888,427.639,436.141,444.389,452.428,460.34,468.238,476.214,484.315,492.563,500.768,509.019,517.308,525.633,534.011,542.449,550.936,559.463,568.027,576.633,585.285,593.992,602.757,611.579,620.447,629.34,638.231,647.099
"Bolivia",NA,"BV05",NA,115.851,118.421,121.036,123.686,126.372,129.114,131.954,134.945,138.129,141.545,145.216,149.17,153.407,158.11,163.27,168.845,174.595,180.451,186.344,192.216,198.028,203.747,209.366,214.853,220.17,225.287,230.171,234.803,239.18,243.312,247.238,251.021,254.738,258.46,262.232,266.087,269.858,273.684,277.58,281.559,285.59,289.69,293.854,298.074,302.341,306.657,311.023,315.441,319.909,324.425,328.982,333.567,338.164,342.76
