"CountryName","Region SUM","Metropolitan SUM","Core city SUM","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Bosnia-Herzegovina","R059",NA,NA,96.71,97.573,98.445,99.36,100.298,101.204,102.112,103.139,104.378,105.962,107.928,109.86,110.934,110.379,107.703,102.909,96.801,90.831,86.438,84.448,84.873,87.093,90.511,92.082,92.981,93.557,93.978,94.152,94.277,94.28,94.314,94.309,94.313,94.314,94.293,94.207,94.099,93.968,93.811,93.63,93.427,93.203,92.963,92.709,92.442,92.165,91.877,91.579,91.27,90.949,90.617,90.271,89.912,89.54
"Bosnia-Herzegovina","R060",NA,NA,2374.161,2400.074,2426.545,2454.507,2483.529,2513.01,2544.1,2579.276,2620.431,2670.433,2729.808,2787.454,2821.753,2812.274,2745.718,2623.508,2467.802,2315.583,2203.593,2152.864,2163.707,2220.307,2307.426,2347.499,2370.411,2385.079,2395.826,2400.245,2403.446,2403.52,2404.375,2404.268,2404.363,2404.393,2403.854,2401.671,2398.918,2395.564,2391.574,2386.955,2381.763,2376.07,2369.947,2363.463,2356.67,2349.6,2342.266,2334.666,2326.787,2318.614,2310.13,2301.322,2292.175,2282.674
"Bosnia-Herzegovina","R061",NA,NA,1466.411,1472.702,1479.086,1486.095,1493.423,1499.707,1505.086,1511.652,1521.113,1535.708,1556.313,1577.268,1587.234,1575.76,1536.321,1467.94,1380.817,1295.646,1232.984,1204.599,1210.666,1242.336,1291.082,1313.504,1326.324,1334.531,1340.545,1343.017,1344.808,1344.85,1345.328,1345.268,1345.322,1345.338,1345.036,1343.815,1342.275,1340.398,1338.166,1335.581,1332.676,1329.49,1326.065,1322.436,1318.635,1314.68,1310.576,1306.324,1301.915,1297.342,1292.595,1287.667,1282.549,1277.232
"Bosnia-Herzegovina",NA,"BS01",NA,381.404,389.843,398.366,407.095,415.921,424.905,434.375,444.68,456.077,468.997,483.462,497.407,506.807,507.761,497.631,476.836,449.674,422.883,403.223,394.615,397.187,408.089,424.548,432.298,436.827,439.778,441.955,442.918,443.62,443.717,443.94,443.976,444.051,444.125,444.116,443.835,443.493,442.957,442.301,441.522,440.622,439.614,438.52,437.354,436.125,434.839,433.501,432.111,430.667,429.165,427.605,425.983,424.297,422.545
"Bosnia-Herzegovina",NA,"BS02",NA,170.812,171.852,172.951,174.178,175.508,176.788,178.046,179.537,181.49,184.194,187.777,191.569,194.293,194.602,191.576,184.943,175.738,166.549,160.053,157.881,160.183,165.906,173.993,178.604,181.934,184.638,187.034,188.925,190.703,192.209,193.753,195.191,196.617,198.004,199.311,200.443,201.485,202.341,202.995,203.439,203.674,203.772,203.745,203.608,203.377,203.071,202.696,202.259,201.765,201.218,200.62,199.974,199.281,198.543
"Bosnia-Herzegovina",NA,NA,"Brcko",45.595,46.002,46.413,46.844,47.286,47.714,48.142,48.626,49.21,49.957,50.884,51.795,52.301,52.039,50.778,48.518,45.638,42.823,40.752,39.814,40.014,41.061,42.672,43.413,43.837,44.108,44.307,44.389,44.448,44.449,44.465,44.463,44.465,44.465,44.455,44.415,44.364,44.302,44.228,44.143,44.047,43.942,43.828,43.708,43.583,43.452,43.316,43.176,43.03,42.879,42.722,42.559,42.39,42.214
"Bosnia-Herzegovina",NA,NA,"Sarajevo",323.352,330.468,337.649,344.994,352.412,359.951,367.888,376.515,386.046,396.84,408.912,420.512,428.221,428.752,419.899,402.04,378.841,355.99,339.171,331.665,333.559,342.438,355.96,362.163,365.657,367.824,369.337,369.835,370.112,369.882,369.756,369.473,369.222,368.969,368.646,368.098,367.499,366.762,365.956,365.081,364.145,363.141,362.088,360.996,359.87,358.711,357.523,356.303,355.048,353.755,352.421,351.043,349.617,348.142
"Bosnia-Herzegovina",NA,NA,"Bihac",66.731,67.273,67.817,68.386,68.966,69.525,70.086,70.727,71.51,72.522,73.783,75.007,75.624,75.112,73.137,69.731,65.464,61.319,58.261,56.838,57.05,58.472,60.698,61.686,62.224,62.545,62.763,62.812,62.826,62.753,62.695,62.606,62.513,62.41,62.281,62.099,61.891,61.681,61.463,61.239,61.016,60.79,60.562,60.333,60.105,59.876,59.647,59.416,59.183,58.947,58.706,58.461,58.21,57.952
"Bosnia-Herzegovina",NA,NA,"Mostar",110.492,111.599,112.738,113.959,115.246,116.567,117.969,119.572,121.467,123.794,126.584,129.326,131.032,130.751,127.856,122.381,115.317,108.389,103.318,101.103,101.772,104.593,108.855,110.899,112.129,112.963,113.603,113.934,114.198,114.303,114.434,114.508,114.58,114.637,114.655,114.583,114.472,114.322,114.132,113.906,113.648,113.365,113.059,112.737,112.4,112.05,111.688,111.315,110.93,110.531,110.118,109.691,109.249,108.79
"Bosnia-Herzegovina",NA,NA,"Tuzla",117.109,118.404,119.7,121.038,122.393,123.694,124.979,126.393,128.05,130.111,132.628,135.09,136.47,135.826,132.556,126.692,119.256,112.021,106.755,104.478,105.216,108.212,112.736,114.998,116.445,117.506,118.388,118.966,119.488,119.853,120.254,120.599,120.942,121.266,121.542,121.713,121.828,121.917,121.938,121.893,121.785,121.634,121.441,121.212,120.953,120.667,120.358,120.025,119.669,119.292,118.893,118.472,118.029,117.564
