CountryCode;CityCode;exp;exp discription
AR;AR01;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR02;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR03;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR04;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR05;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR06;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR07;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR08;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR09;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR10;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR11;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR12;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR13;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
AR;AR14;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
GG;GG01;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
GG;GG02;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
GG;GG03;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
GG;GG04;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
CA;CA05;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
CA;CA06;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
NG;NG01;only2000;has only indicator 2000, we can't do anything with this for now, so any forecast for the city is going to be made
BU;BU01;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
BU;BU02;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
BU;BU03;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
BU;BU04;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
BU;BU05;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
BU;BU06;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
BU;BU07;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
GT;GT01;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
GT;GT02;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
GT;GT03;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
GT;GT04;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
KW;KW01;country678;"has only indicator 2000, but the country has indicators 2666, 2667, 2668; so the structure of the country is going to be adapted to the city"
AJ;AJ01;miss.ind;indicator 2668 missing, it is going to be calculated from indicators 2000, 2667, 2666 (2668=2000-2667-2666)
AJ;AJ02;miss.ind;indicator 2668 missing, it is going to be calculated from indicators 2000, 2667, 2666 (2668=2000-2667-2666)
MO;MO01;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO02;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO03;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO04;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO05;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO06;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO07;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO08;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
