RegionCode;Region/CityName;CountryName;CountryCode;ProductID;ProductName;Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
KW01;#N/A;#N/A;#N/A;2000;For estimating: Total motor vehicles;number;;;;;;955339;1029756;1056397;1058346;1110478;1150191;1184542;1256083;1390633;;;
PK01;Pakistan;Karachi;PK;2000;For estimating: Total motor vehicles;;;;1113917;1177315;1280349;1431994;1610757;1809500;;;2330220;2614580;;;;;
MO01;Morocco;Casablanca;MO;2000;For estimating: Total motor vehicles;number;;;636471;;676084;;777506;815614;863457;919904;968532;1023065;1079721;1134172;1187233;;
SA09;Saudi Arabia;Asir;SA;2000;For estimating: Total motor vehicles;number;;;;;;756.637.745.037.091;784.028.241.678.891;869.549.242.322.322;958.816.359.973.004;107.056.418.862.978;117.295.049.797.969;135.276.192.436.214;147.670.608.235.791;;;;
SA05;Saudi Arabia;Eastern;SA;2000;For estimating: Total motor vehicles;number;;;;;;891.021.635.429.857;894.784.572.888.209;942.271.836.266.117;990.904.660.064.269;103.552.893.217.422;112.413.884.007.722;124.555.419.808.595;139.255.880.782.038;;;;
SA10;Saudi Arabia;Eastern;SA;2000;For estimating: Total motor vehicles;number;;;;;;480.952.757.976.082;481.238.980.585.811;504.928.886.405.701;529.030.679.384.687;550.794.017.738.584;59.567.263.112.222;657.496.545.814.567;732.267.372.004.299;;;;
SA11;Saudi Arabia;Eastern;SA;2000;For estimating: Total motor vehicles;number;;;;;;127.383.346.770.151;13.602.744.711.267;151.840.904.604.001;168.777.255.490.206;185.952.256.452.646;212.329.037.665.389;246.937.183.626.909;289.224.711.278.315;;;;
SA13;Saudi Arabia;Hail;SA;2000;For estimating: Total motor vehicles;number;;;;;;121.119.461.674.356;127.396.362.887.022;133.784.009.992.297;139.797.695.893.291;149.723.267.289.488;155.416.980.737.194;165.313.834.783.754;177.249.827.781.204;;;;
SA04;Saudi Arabia;Madinah;SA;2000;For estimating: Total motor vehicles;number;;;;;;239.671.190.110.106;254.902.404.065.589;27.037.493.804.506;286.077.700.814.543;303.534.495.747.366;311.285.647.740.647;319.938.736.467.339;33.450.166.230.601;;;;
SA02;Saudi Arabia;Makkah;SA;2000;For estimating: Total motor vehicles;number;;;;;;174.311.149.924.376;182.702.391.996.011;193.543.198.914.288;202.570.986.257.162;212.389.217.891.776;226.371.888.606.642;235.124.527.736.517;249.248.537.488.559;;;;
SA03;Saudi Arabia;Makkah;SA;2000;For estimating: Total motor vehicles;number;;;;;;863.053.616.851.604;900.737.023.452.521;950.126.628.707.655;990.237.021.014.855;103.385.871.729.908;109.730.265.671.378;113.497.266.975.789;119.815.186.383.158;;;;
SA06;Saudi Arabia;Makkah;SA;2000;For estimating: Total motor vehicles;number;;;;;;537.754.759.265.006;555.210.668.612.759;579.302.310.331.846;597.140.491.444.828;61.653.914.284.778;647.046.294.836.008;66.168.300.167.556;690.521.268.894.225;;;;
SA12;Saudi Arabia;Najran;SA;2000;For estimating: Total motor vehicles;number;;;;;;700.110.719.132.413;768.651.269.104.397;801.240.268.359.147;842.402.014.119.845;882.713.677.674.542;896.538.639.379.753;926.571.176.423.867;100.930.510.139.122;;;;
