"RegionCode","Region/CityName","CountryName","CountryCode","ProductID","ProductName","Unit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"PK01","Pakistan","Karachi","PK",2000,"For estimating: Total motor vehicles","",,,1113917,1177315,1280349,1431994,1610757,1809500,,,2330220,2614580,,,,,
"MO01","Morocco","Casablanca","MO",2000,"For estimating: Total motor vehicles","number",,,636471,,676084,,777506,815614,863457,919904,968532,1023065,1079721,1134172,1187233,,
"SA09","Saudi Arabia","Asir","SA",2000,"For estimating: Total motor vehicles","number",,,,,,75663.7745037091,78402.8241678891,86954.9242322322,95881.6359973004,107056.418862978,117295.049797969,135276.192436214,147670.608235791,,,,
"SA05","Saudi Arabia","Eastern","SA",2000,"For estimating: Total motor vehicles","number",,,,,,891021.635429857,894784.572888209,942271.836266117,990904.660064269,1035528.93217422,1124138.84007722,1245554.19808595,1392558.80782038,,,,
"SA10","Saudi Arabia","Eastern","SA",2000,"For estimating: Total motor vehicles","number",,,,,,480952.757976082,481238.980585811,504928.886405701,529030.679384687,550794.017738584,595672.63112222,657496.545814567,732267.372004299,,,,
"SA11","Saudi Arabia","Eastern","SA",2000,"For estimating: Total motor vehicles","number",,,,,,127383.346770151,136027.44711267,151840.904604001,168777.255490206,185952.256452646,212329.037665389,246937.183626909,289224.711278315,,,,
"SA13","Saudi Arabia","Hail","SA",2000,"For estimating: Total motor vehicles","number",,,,,,121119.461674356,127396.362887022,133784.009992297,139797.695893291,149723.267289488,155416.980737194,165313.834783754,177249.827781204,,,,
"SA04","Saudi Arabia","Madinah","SA",2000,"For estimating: Total motor vehicles","number",,,,,,239671.190110106,254902.404065589,270374.93804506,286077.700814543,303534.495747366,311285.647740647,319938.736467339,334501.66230601,,,,
"SA02","Saudi Arabia","Makkah","SA",2000,"For estimating: Total motor vehicles","number",,,,,,1743111.49924376,1827023.91996011,1935431.98914288,2025709.86257162,2123892.17891776,2263718.88606642,2351245.27736517,2492485.37488559,,,,
"SA03","Saudi Arabia","Makkah","SA",2000,"For estimating: Total motor vehicles","number",,,,,,863053.616851604,900737.023452521,950126.628707655,990237.021014855,1033858.71729908,1097302.65671378,1134972.66975789,1198151.86383158,,,,
"SA06","Saudi Arabia","Makkah","SA",2000,"For estimating: Total motor vehicles","number",,,,,,537754.759265006,555210.668612759,579302.310331846,597140.491444828,616539.14284778,647046.294836008,661683.00167556,690521.268894225,,,,
"SA12","Saudi Arabia","Najran","SA",2000,"For estimating: Total motor vehicles","number",,,,,,70011.0719132413,76865.1269104397,80124.0268359147,84240.2014119845,88271.3677674542,89653.8639379753,92657.1176423867,100930.510139122,,,,
"SA08","Saudi Arabia","Qasim","SA",2000,"For estimating: Total motor vehicles","number",,,,,,201401.745728927,246993.897746546,259109.150396897,272187.126304069,286650.566309619,312347.040836586,340495.017244513,365475.205449634,,,,
"SA01","Saudi Arabia","Riyadh","SA",2000,"For estimating: Total motor vehicles","number",,,,,,2542022.66184391,2741551.40525698,2876131.34926859,3056039.7634529,3202002.39162369,3382987.55219098,3491522.40129809,3612586.89359444,,,,
"SA07","Saudi Arabia","Tabuk","SA",2000,"For estimating: Total motor vehicles","number",,,,,,108235.444189495,124311.478705123,132924.389383001,142486.747590593,152526.698358924,150178.020170164,159704.817525867,168858.168297418,,,,
"MO08","Morocco","Oriental","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,41075.5098751355,44910.9681842004,47767.6682540953,52722.6923629666,56809.0159862655,59466.8644072308,61588.8433788419,64308.7122775318,66139.4135967137,,
"MO03","Morocco","Fes - Boulemane","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,65121.9179741281,67466.3705357877,72360.2906006389,78017.8198955638,83368.8301559241,89265.0759082316,94397.7141278206,99150.0584155154,103896.180125486,,
"MO09","Morocco","Gharb - Chrarda - Beni-Hsen","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,34937.6220557636,40366.6113734082,43706.0661863184,48308.668033866,51964.443019091,55211.0080906618,58702.736771196,62172.0773729604,65491.9438619327,,
"MO04","Morocco","Marrakech - Tensift - El-Haouz","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,36750.1464316217,41503.8302642729,45438.7622644051,49557.993299842,53307.6808546139,56749.6361666813,61136.9989373986,65132.0648283388,68685.2559617582,,
"MO07","Morocco","Meknes - Tafilalt","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,34708.3474191278,34848.9607676328,36955.114388919,39710.3141408709,42380.0718124988,44938.7281462133,47282.934273746,49487.8846940225,51536.2851487755,,
"MO02","Morocco","Rabat - Sale - Zemmour - Zaer","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,268934.380065826,2875099.06495207,308229.805170782,328500.563213156,348751.237560573,351176.047070992,368840.453372201,383635.55714808,398413.738539796,,
"MO05","Morocco","Sous - Massa - Draa","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,37532.5618008525,42136.0833195952,46113.5301501956,50590.2984096183,54987.757687574,59316.232664499,63668.3679635059,67891.0175437617,72042.1846521373,,
"MO06","Morocco","Tanger - Tetouan","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,49748.6142027397,51819.3128894952,55818.461711485,60616.6916387023,64402.7299674707,70498.1186811551,75176.3017028613,79667.4889306244,84119.77804092,,
"MO10","Morocco","Tanger - Tetouan","MO",2000,"For estimating: Total motor vehicles","number",,,,,,,39713.4488969087,41265.8861467642,44211.9049869219,47835.3786782217,50583.7517007359,53448.3032646645,56792.3993098772,59412.2646085245,61902.1326970902,,
